NAME,LATITUDE,LONGITUDE,PUNTO ZWF,PROPIETARIO,CONTRATO,SECTOR
ZWF AREA 227,4.078904,-72.474403,POINT (-72.474403 4.078904),ENTIDAD,BPIN 20233796512094,INDUSTRIAL
ZWF AREA 228,4.653131,-72.315853,POINT (-72.315853 4.653131),GOBIERNO,BPIN 20237775694261,TURISTICO
ZWF AREA 229,4.851661,-72.41899,POINT (-72.41899 4.851661),EMPRESA,BPIN 20232256646060,URBANO
ZWF AREA 230,4.980315,-72.089304,POINT (-72.089304 4.980315),ENTIDAD,BPIN 20235054439944,TURISTICO
ZWF AREA 231,4.882496,-72.003286,POINT (-72.003286 4.882496),ENTIDAD,BPIN 20235175075698,TURISTICO
ZWF AREA 232,4.118391,-72.03955,POINT (-72.03955 4.118391),GOBIERNO,BPIN 20233079323641,INDUSTRIAL
ZWF AREA 233,4.204612,-72.148791,POINT (-72.148791 4.204612),GOBIERNO,BPIN 20236610372940,RURAL
ZWF AREA 234,4.533719,-72.726067,POINT (-72.726067 4.533719),GOBIERNO,BPIN 20236836700543,TURISTICO
ZWF AREA 235,4.238728,-72.110111,POINT (-72.110111 4.238728),EMPRESA,BPIN 20233881117123,RURAL
ZWF AREA 236,4.591496,-72.25332,POINT (-72.25332 4.591496),ENTIDAD,BPIN 20237206826689,TURISTICO
ZWF AREA 237,4.124311,-72.991292,POINT (-72.991292 4.124311),GOBIERNO,BPIN 20237650685145,URBANO
ZWF AREA 238,4.353871,-72.454122,POINT (-72.454122 4.353871),EMPRESA,BPIN 20232636174579,INDUSTRIAL
ZWF AREA 239,4.532561,-72.985658,POINT (-72.985658 4.532561),PARTICULAR,BPIN 20233707542680,INDUSTRIAL
ZWF AREA 240,4.660115,-72.727593,POINT (-72.727593 4.660115),GOBIERNO,BPIN 20232935101668,INDUSTRIAL
ZWF AREA 241,4.06529,-72.195298,POINT (-72.195298 4.06529),GOBIERNO,BPIN 20238395276698,URBANO
ZWF AREA 242,4.301821,-72.906486,POINT (-72.906486 4.301821),ENTIDAD,BPIN 20236178479149,TURISTICO
ZWF AREA 243,4.629283,-72.27871,POINT (-72.27871 4.629283),PARTICULAR,BPIN 20239072251596,INDUSTRIAL
ZWF AREA 244,4.244182,-72.551624,POINT (-72.551624 4.244182),ENTIDAD,BPIN 20235461767420,URBANO
ZWF AREA 245,4.068346,-72.175561,POINT (-72.175561 4.068346),GOBIERNO,BPIN 20234432470339,RURAL
ZWF AREA 246,4.237294,-72.939002,POINT (-72.939002 4.237294),GOBIERNO,BPIN 20234542091624,INDUSTRIAL
ZWF AREA 247,4.934293,-72.63102,POINT (-72.63102 4.934293),GOBIERNO,BPIN 20235026014392,RURAL
ZWF AREA 248,4.714101,-72.779861,POINT (-72.779861 4.714101),PARTICULAR,BPIN 20239285186925,TURISTICO
ZWF AREA 249,4.103586,-72.460446,POINT (-72.460446 4.103586),GOBIERNO,BPIN 20236749724461,URBANO
ZWF AREA 250,4.646637,-72.48388,POINT (-72.48388 4.646637),PARTICULAR,BPIN 20237836536185,INDUSTRIAL
ZWF AREA 251,4.701568,-72.109519,POINT (-72.109519 4.701568),ENTIDAD,BPIN 20237981255717,RURAL
ZWF AREA 252,4.692343,-72.04588,POINT (-72.04588 4.692343),PARTICULAR,BPIN 20233374443809,RURAL
ZWF AREA 253,4.377374,-72.658653,POINT (-72.658653 4.377374),GOBIERNO,BPIN 20236111494341,RURAL
ZWF AREA 254,4.593128,-72.410389,POINT (-72.410389 4.593128),ENTIDAD,BPIN 20238995979369,URBANO
ZWF AREA 255,4.153406,-72.426976,POINT (-72.426976 4.153406),PARTICULAR,BPIN 20234569416534,INDUSTRIAL
ZWF AREA 256,4.740458,-72.842122,POINT (-72.842122 4.740458),ENTIDAD,BPIN 20239666039057,RURAL
ZWF AREA 257,4.394071,-72.094887,POINT (-72.094887 4.394071),GOBIERNO,BPIN 20238944444243,TURISTICO
ZWF AREA 258,4.312913,-72.693284,POINT (-72.693284 4.312913),ENTIDAD,BPIN 20235709408414,TURISTICO
ZWF AREA 259,4.03869,-72.04428,POINT (-72.04428 4.03869),PARTICULAR,BPIN 20239310206339,RURAL
ZWF AREA 260,4.064258,-72.88197,POINT (-72.88197 4.064258),ENTIDAD,BPIN 20235461452249,INDUSTRIAL
ZWF AREA 261,4.944688,-72.013718,POINT (-72.013718 4.944688),EMPRESA,BPIN 20238035717689,TURISTICO
ZWF AREA 262,4.394684,-72.673381,POINT (-72.673381 4.394684),GOBIERNO,BPIN 20237850565550,INDUSTRIAL
ZWF AREA 263,4.818873,-72.807494,POINT (-72.807494 4.818873),PARTICULAR,BPIN 20238646552457,INDUSTRIAL
ZWF AREA 264,4.687823,-72.206624,POINT (-72.206624 4.687823),GOBIERNO,BPIN 20233802837904,TURISTICO
ZWF AREA 265,4.041324,-72.682235,POINT (-72.682235 4.041324),GOBIERNO,BPIN 20238926220159,URBANO
ZWF AREA 266,4.262196,-72.883277,POINT (-72.883277 4.262196),GOBIERNO,BPIN 20235466285355,RURAL
ZWF AREA 267,4.426982,-72.373088,POINT (-72.373088 4.426982),ENTIDAD,BPIN 20238389158287,URBANO
ZWF AREA 268,4.46537,-72.542855,POINT (-72.542855 4.46537),GOBIERNO,BPIN 20233580355717,INDUSTRIAL
ZWF AREA 269,4.777586,-72.833507,POINT (-72.833507 4.777586),GOBIERNO,BPIN 20234469804659,TURISTICO
ZWF AREA 270,4.333818,-72.650167,POINT (-72.650167 4.333818),EMPRESA,BPIN 20237606261197,INDUSTRIAL
ZWF AREA 271,4.078138,-72.930453,POINT (-72.930453 4.078138),ENTIDAD,BPIN 20232032784899,RURAL
ZWF AREA 272,4.628738,-72.466449,POINT (-72.466449 4.628738),PARTICULAR,BPIN 20236016285443,INDUSTRIAL
ZWF AREA 273,4.699776,-72.124788,POINT (-72.124788 4.699776),ENTIDAD,BPIN 20232031661133,RURAL
ZWF AREA 274,4.623929,-72.72906,POINT (-72.72906 4.623929),GOBIERNO,BPIN 20234023860679,INDUSTRIAL
ZWF AREA 275,4.160279,-72.623779,POINT (-72.623779 4.160279),ENTIDAD,BPIN 20235381652640,INDUSTRIAL
ZWF AREA 276,4.963317,-72.866754,POINT (-72.866754 4.963317),EMPRESA,BPIN 20232578918198,RURAL
ZWF AREA 277,4.715393,-72.001755,POINT (-72.001755 4.715393),ENTIDAD,BPIN 20234141636369,INDUSTRIAL
ZWF AREA 278,4.64535,-72.019416,POINT (-72.019416 4.64535),PARTICULAR,BPIN 20231171631950,INDUSTRIAL
ZWF AREA 279,4.290563,-72.924988,POINT (-72.924988 4.290563),EMPRESA,BPIN 20236158555004,TURISTICO
ZWF AREA 280,4.27158,-72.6876,POINT (-72.6876 4.27158),PARTICULAR,BPIN 20233494685240,INDUSTRIAL
ZWF AREA 281,4.155188,-72.263866,POINT (-72.263866 4.155188),ENTIDAD,BPIN 20231283472861,INDUSTRIAL
ZWF AREA 282,4.373437,-72.203243,POINT (-72.203243 4.373437),GOBIERNO,BPIN 20233827639249,TURISTICO
ZWF AREA 283,4.267618,-72.254711,POINT (-72.254711 4.267618),ENTIDAD,BPIN 20238559228120,URBANO
ZWF AREA 284,4.497539,-72.587701,POINT (-72.587701 4.497539),EMPRESA,BPIN 20234267941581,INDUSTRIAL
ZWF AREA 285,4.973936,-72.565953,POINT (-72.565953 4.973936),PARTICULAR,BPIN 20236004156965,INDUSTRIAL
ZWF AREA 286,4.600163,-72.114811,POINT (-72.114811 4.600163),PARTICULAR,BPIN 20236840052926,TURISTICO
ZWF AREA 287,4.247204,-72.168185,POINT (-72.168185 4.247204),PARTICULAR,BPIN 20233948926461,URBANO
ZWF AREA 288,4.874688,-72.685642,POINT (-72.685642 4.874688),PARTICULAR,BPIN 20232619427147,RURAL
ZWF AREA 289,4.306615,-72.158349,POINT (-72.158349 4.306615),GOBIERNO,BPIN 20235151022175,URBANO
ZWF AREA 290,4.410871,-72.828324,POINT (-72.828324 4.410871),ENTIDAD,BPIN 20238859293094,URBANO
ZWF AREA 291,4.047387,-72.322164,POINT (-72.322164 4.047387),PARTICULAR,BPIN 20232036941123,RURAL
ZWF AREA 292,4.541887,-72.855194,POINT (-72.855194 4.541887),ENTIDAD,BPIN 20236881682518,INDUSTRIAL
ZWF AREA 293,4.993288,-72.438268,POINT (-72.438268 4.993288),GOBIERNO,BPIN 20234489766757,TURISTICO
ZWF AREA 294,4.129108,-72.83472,POINT (-72.83472 4.129108),EMPRESA,BPIN 20236382716139,INDUSTRIAL
ZWF AREA 295,4.659985,-72.673357,POINT (-72.673357 4.659985),GOBIERNO,BPIN 20233688041349,URBANO
ZWF AREA 296,4.581585,-72.169911,POINT (-72.169911 4.581585),GOBIERNO,BPIN 20233320933406,INDUSTRIAL
ZWF AREA 297,4.526949,-72.900624,POINT (-72.900624 4.526949),EMPRESA,BPIN 20231057476895,URBANO
ZWF AREA 298,4.797521,-72.316445,POINT (-72.316445 4.797521),PARTICULAR,BPIN 20237687754595,URBANO
ZWF AREA 299,4.603662,-72.100946,POINT (-72.100946 4.603662),ENTIDAD,BPIN 20233136896602,TURISTICO
ZWF AREA 300,4.029307,-72.74835,POINT (-72.74835 4.029307),PARTICULAR,BPIN 20236840170316,URBANO
ZWF AREA 301,4.156146,-72.745972,POINT (-72.745972 4.156146),EMPRESA,BPIN 20231647386357,RURAL
ZWF AREA 302,4.781942,-72.399979,POINT (-72.399979 4.781942),GOBIERNO,BPIN 20236477845869,TURISTICO
ZWF AREA 303,4.91606,-72.772257,POINT (-72.772257 4.91606),EMPRESA,BPIN 20236042805084,RURAL
ZWF AREA 304,4.462679,-72.517195,POINT (-72.517195 4.462679),GOBIERNO,BPIN 20235582605273,TURISTICO
ZWF AREA 305,4.393044,-72.697255,POINT (-72.697255 4.393044),PARTICULAR,BPIN 20233127088322,TURISTICO
ZWF AREA 306,4.13128,-72.869942,POINT (-72.869942 4.13128),PARTICULAR,BPIN 20233680709698,RURAL
ZWF AREA 307,4.150375,-72.656558,POINT (-72.656558 4.150375),EMPRESA,BPIN 20236849344650,RURAL
ZWF AREA 308,4.854846,-72.336993,POINT (-72.336993 4.854846),ENTIDAD,BPIN 20232869619663,RURAL
ZWF AREA 309,4.182759,-72.533872,POINT (-72.533872 4.182759),EMPRESA,BPIN 20231552378934,INDUSTRIAL
ZWF AREA 310,4.829891,-72.755082,POINT (-72.755082 4.829891),GOBIERNO,BPIN 20235434405103,INDUSTRIAL
ZWF AREA 311,4.926789,-72.633107,POINT (-72.633107 4.926789),ENTIDAD,BPIN 20231020702738,URBANO
ZWF AREA 312,4.574903,-72.343499,POINT (-72.343499 4.574903),PARTICULAR,BPIN 20232027233167,URBANO
ZWF AREA 313,4.772023,-72.162209,POINT (-72.162209 4.772023),EMPRESA,BPIN 20239511391062,INDUSTRIAL
ZWF AREA 314,4.990232,-72.34714,POINT (-72.34714 4.990232),EMPRESA,BPIN 20233117873679,INDUSTRIAL
ZWF AREA 315,4.000542,-72.164273,POINT (-72.164273 4.000542),EMPRESA,BPIN 20232271059969,URBANO
ZWF AREA 316,4.232911,-72.641722,POINT (-72.641722 4.232911),EMPRESA,BPIN 20231334242285,RURAL
ZWF AREA 317,4.433412,-72.316901,POINT (-72.316901 4.433412),ENTIDAD,BPIN 20238959448842,URBANO
ZWF AREA 318,4.908167,-72.934968,POINT (-72.934968 4.908167),GOBIERNO,BPIN 20239396107316,INDUSTRIAL
ZWF AREA 319,4.981906,-72.994904,POINT (-72.994904 4.981906),GOBIERNO,BPIN 20231765195895,INDUSTRIAL
ZWF AREA 320,4.238563,-72.767713,POINT (-72.767713 4.238563),GOBIERNO,BPIN 20237848592256,RURAL
ZWF AREA 321,4.729778,-72.135126,POINT (-72.135126 4.729778),EMPRESA,BPIN 20238255355163,RURAL
ZWF AREA 322,4.810999,-72.867953,POINT (-72.867953 4.810999),PARTICULAR,BPIN 20233791536508,RURAL
ZWF AREA 323,4.885604,-72.558053,POINT (-72.558053 4.885604),PARTICULAR,BPIN 20238238725403,RURAL
ZWF AREA 324,4.255195,-72.269884,POINT (-72.269884 4.255195),ENTIDAD,BPIN 20233395894983,RURAL
ZWF AREA 325,4.209387,-72.735423,POINT (-72.735423 4.209387),ENTIDAD,BPIN 20235943568540,URBANO
ZWF AREA 326,4.814586,-72.577286,POINT (-72.577286 4.814586),ENTIDAD,BPIN 20231984736934,TURISTICO
ZWF AREA 327,4.432458,-72.435722,POINT (-72.435722 4.432458),ENTIDAD,BPIN 20234494317309,INDUSTRIAL
ZWF AREA 328,4.500214,-72.895139,POINT (-72.895139 4.500214),EMPRESA,BPIN 20232551391509,TURISTICO
ZWF AREA 329,4.324976,-72.671813,POINT (-72.671813 4.324976),PARTICULAR,BPIN 20237212478819,INDUSTRIAL
ZWF AREA 330,4.641815,-72.471109,POINT (-72.471109 4.641815),EMPRESA,BPIN 20238065117183,URBANO
ZWF AREA 331,4.454033,-72.353763,POINT (-72.353763 4.454033),ENTIDAD,BPIN 20239551511220,INDUSTRIAL
ZWF AREA 332,4.421074,-72.936431,POINT (-72.936431 4.421074),EMPRESA,BPIN 20233363711380,TURISTICO
ZWF AREA 333,4.055288,-72.495357,POINT (-72.495357 4.055288),PARTICULAR,BPIN 20239283528945,URBANO
ZWF AREA 334,4.724884,-72.704224,POINT (-72.704224 4.724884),EMPRESA,BPIN 20238770751021,RURAL
ZWF AREA 335,4.647771,-72.592766,POINT (-72.592766 4.647771),EMPRESA,BPIN 20232135484561,TURISTICO
ZWF AREA 336,4.383225,-72.858439,POINT (-72.858439 4.383225),GOBIERNO,BPIN 20233520835693,INDUSTRIAL
ZWF AREA 337,4.63144,-72.527225,POINT (-72.527225 4.63144),PARTICULAR,BPIN 20236508619266,TURISTICO
ZWF AREA 338,4.604519,-72.027198,POINT (-72.027198 4.604519),PARTICULAR,BPIN 20231290927418,RURAL
ZWF AREA 339,4.601446,-72.304806,POINT (-72.304806 4.601446),GOBIERNO,BPIN 20236089770346,URBANO
ZWF AREA 340,4.84177,-72.055982,POINT (-72.055982 4.84177),GOBIERNO,BPIN 20234626522917,RURAL
ZWF AREA 341,4.238461,-72.597918,POINT (-72.597918 4.238461),EMPRESA,BPIN 20236188115419,URBANO
ZWF AREA 342,4.119221,-72.821252,POINT (-72.821252 4.119221),GOBIERNO,BPIN 20238347938679,RURAL
ZWF AREA 343,4.436249,-72.353017,POINT (-72.353017 4.436249),EMPRESA,BPIN 20237574572484,URBANO
ZWF AREA 344,4.09879,-72.141399,POINT (-72.141399 4.09879),EMPRESA,BPIN 20235317526246,URBANO
ZWF AREA 345,4.385923,-72.681595,POINT (-72.681595 4.385923),PARTICULAR,BPIN 20231761975299,INDUSTRIAL
ZWF AREA 346,4.270114,-72.549343,POINT (-72.549343 4.270114),EMPRESA,BPIN 20232120194631,URBANO
ZWF AREA 347,4.821389,-72.450146,POINT (-72.450146 4.821389),EMPRESA,BPIN 20231182103835,RURAL
ZWF AREA 348,4.868288,-72.827172,POINT (-72.827172 4.868288),PARTICULAR,BPIN 20235075656727,URBANO
ZWF AREA 349,4.230268,-72.25323,POINT (-72.25323 4.230268),EMPRESA,BPIN 20235293198363,INDUSTRIAL
ZWF AREA 350,4.793383,-72.477107,POINT (-72.477107 4.793383),GOBIERNO,BPIN 20239105028403,URBANO
ZWF AREA 351,4.098547,-72.699435,POINT (-72.699435 4.098547),PARTICULAR,BPIN 20235849990364,RURAL
ZWF AREA 352,4.182302,-72.786668,POINT (-72.786668 4.182302),ENTIDAD,BPIN 20236430273045,URBANO
ZWF AREA 353,4.931244,-72.193166,POINT (-72.193166 4.931244),GOBIERNO,BPIN 20237150838247,RURAL
ZWF AREA 354,4.718768,-72.237709,POINT (-72.237709 4.718768),ENTIDAD,BPIN 20238244129669,RURAL
ZWF AREA 355,4.548887,-72.738569,POINT (-72.738569 4.548887),PARTICULAR,BPIN 20239675302252,URBANO
ZWF AREA 356,4.890714,-72.949826,POINT (-72.949826 4.890714),PARTICULAR,BPIN 20237464450922,URBANO
ZWF AREA 357,4.66845,-72.555942,POINT (-72.555942 4.66845),PARTICULAR,BPIN 20238201778067,TURISTICO
ZWF AREA 358,4.930687,-72.417072,POINT (-72.417072 4.930687),ENTIDAD,BPIN 20232969486610,INDUSTRIAL
ZWF AREA 359,4.445228,-72.015016,POINT (-72.015016 4.445228),EMPRESA,BPIN 20239459112126,TURISTICO
ZWF AREA 360,4.163696,-72.022602,POINT (-72.022602 4.163696),PARTICULAR,BPIN 20232422533884,RURAL
ZWF AREA 361,4.519025,-72.879799,POINT (-72.879799 4.519025),ENTIDAD,BPIN 20239263834388,INDUSTRIAL
ZWF AREA 362,4.275846,-72.451404,POINT (-72.451404 4.275846),ENTIDAD,BPIN 20237416097565,RURAL
ZWF AREA 363,4.796312,-72.868592,POINT (-72.868592 4.796312),PARTICULAR,BPIN 20236276491688,TURISTICO
ZWF AREA 364,4.151084,-72.195849,POINT (-72.195849 4.151084),GOBIERNO,BPIN 20236007448938,TURISTICO
ZWF AREA 365,4.810534,-72.970985,POINT (-72.970985 4.810534),EMPRESA,BPIN 20234332429531,URBANO
ZWF AREA 366,4.676,-72.731676,POINT (-72.731676 4.676),EMPRESA,BPIN 20235968538616,TURISTICO
ZWF AREA 367,4.107065,-72.982985,POINT (-72.982985 4.107065),GOBIERNO,BPIN 20234153110131,INDUSTRIAL
ZWF AREA 368,4.523409,-72.741268,POINT (-72.741268 4.523409),ENTIDAD,BPIN 20232810690418,INDUSTRIAL
ZWF AREA 369,4.407566,-72.232594,POINT (-72.232594 4.407566),PARTICULAR,BPIN 20232649616905,TURISTICO
ZWF AREA 370,4.26827,-72.948978,POINT (-72.948978 4.26827),EMPRESA,BPIN 20239040991549,INDUSTRIAL
ZWF AREA 371,4.846452,-72.19609,POINT (-72.19609 4.846452),GOBIERNO,BPIN 20237239718318,INDUSTRIAL
ZWF AREA 372,4.805,-72.052713,POINT (-72.052713 4.805),EMPRESA,BPIN 20239066604701,TURISTICO
ZWF AREA 373,4.385278,-72.172696,POINT (-72.172696 4.385278),GOBIERNO,BPIN 20234982750165,TURISTICO
ZWF AREA 374,4.9293,-72.905576,POINT (-72.905576 4.9293),GOBIERNO,BPIN 20234898454186,URBANO
ZWF AREA 375,4.472124,-72.595359,POINT (-72.595359 4.472124),GOBIERNO,BPIN 20237426463161,TURISTICO
ZWF AREA 376,4.418836,-72.122939,POINT (-72.122939 4.418836),ENTIDAD,BPIN 20238173211712,RURAL
ZWF AREA 377,4.231046,-72.098103,POINT (-72.098103 4.231046),PARTICULAR,BPIN 20239149369340,RURAL
ZWF AREA 378,4.652398,-72.089073,POINT (-72.089073 4.652398),ENTIDAD,BPIN 20235962619929,TURISTICO
ZWF AREA 379,4.656866,-72.865241,POINT (-72.865241 4.656866),EMPRESA,BPIN 20236997510017,URBANO
ZWF AREA 380,4.416183,-72.853633,POINT (-72.853633 4.416183),PARTICULAR,BPIN 20238485067043,INDUSTRIAL
ZWF AREA 381,4.783308,-72.058044,POINT (-72.058044 4.783308),ENTIDAD,BPIN 20234566288353,RURAL
ZWF AREA 382,4.947941,-72.253965,POINT (-72.253965 4.947941),ENTIDAD,BPIN 20234754556863,URBANO
ZWF AREA 383,4.538423,-72.202138,POINT (-72.202138 4.538423),GOBIERNO,BPIN 20233682282328,URBANO
ZWF AREA 384,4.760803,-72.459847,POINT (-72.459847 4.760803),GOBIERNO,BPIN 20238015014503,TURISTICO
ZWF AREA 385,4.547112,-72.745448,POINT (-72.745448 4.547112),PARTICULAR,BPIN 20238628469213,INDUSTRIAL
ZWF AREA 386,4.015592,-72.180262,POINT (-72.180262 4.015592),EMPRESA,BPIN 20236510363292,RURAL
ZWF AREA 387,4.540781,-72.123117,POINT (-72.123117 4.540781),EMPRESA,BPIN 20231319531821,RURAL
ZWF AREA 388,4.52041,-72.563965,POINT (-72.563965 4.52041),PARTICULAR,BPIN 20235418327580,URBANO
ZWF AREA 389,4.524895,-72.192467,POINT (-72.192467 4.524895),ENTIDAD,BPIN 20232567273451,TURISTICO
ZWF AREA 390,4.639092,-72.093077,POINT (-72.093077 4.639092),EMPRESA,BPIN 20234785115298,TURISTICO
ZWF AREA 391,4.943011,-72.789802,POINT (-72.789802 4.943011),GOBIERNO,BPIN 20232538660202,TURISTICO
ZWF AREA 392,4.774455,-72.262465,POINT (-72.262465 4.774455),PARTICULAR,BPIN 20237683992275,INDUSTRIAL
ZWF AREA 393,4.958175,-72.133799,POINT (-72.133799 4.958175),ENTIDAD,BPIN 20233772043674,TURISTICO
ZWF AREA 394,4.825981,-72.84819,POINT (-72.84819 4.825981),EMPRESA,BPIN 20233702283002,TURISTICO
ZWF AREA 395,4.918449,-72.796495,POINT (-72.796495 4.918449),ENTIDAD,BPIN 20236215666174,RURAL
ZWF AREA 396,4.502271,-72.288941,POINT (-72.288941 4.502271),ENTIDAD,BPIN 20238350281935,INDUSTRIAL
ZWF AREA 397,4.91847,-72.442391,POINT (-72.442391 4.91847),EMPRESA,BPIN 20231213502083,RURAL
ZWF AREA 398,4.26555,-72.323075,POINT (-72.323075 4.26555),PARTICULAR,BPIN 20237467655725,TURISTICO
ZWF AREA 399,4.255771,-72.505268,POINT (-72.505268 4.255771),PARTICULAR,BPIN 20235247839835,RURAL
ZWF AREA 400,4.852591,-72.395396,POINT (-72.395396 4.852591),ENTIDAD,BPIN 20238969700206,URBANO
ZWF AREA 401,4.825305,-72.357957,POINT (-72.357957 4.825305),EMPRESA,BPIN 20236247047795,INDUSTRIAL
ZWF AREA 402,4.178582,-72.284547,POINT (-72.284547 4.178582),ENTIDAD,BPIN 20236238490447,TURISTICO
ZWF AREA 403,4.098997,-72.857466,POINT (-72.857466 4.098997),PARTICULAR,BPIN 20235672437345,URBANO
ZWF AREA 404,4.3001,-72.42688,POINT (-72.42688 4.3001),ENTIDAD,BPIN 20238004771997,TURISTICO
ZWF AREA 405,4.182827,-72.875059,POINT (-72.875059 4.182827),ENTIDAD,BPIN 20233120895274,INDUSTRIAL
ZWF AREA 406,4.865882,-72.131418,POINT (-72.131418 4.865882),ENTIDAD,BPIN 20234452691909,RURAL
ZWF AREA 407,4.223774,-72.482233,POINT (-72.482233 4.223774),EMPRESA,BPIN 20238254457982,TURISTICO
ZWF AREA 408,4.901298,-72.876334,POINT (-72.876334 4.901298),EMPRESA,BPIN 20235884630415,URBANO
ZWF AREA 409,4.756999,-72.368638,POINT (-72.368638 4.756999),PARTICULAR,BPIN 20234379972814,INDUSTRIAL
ZWF AREA 410,4.56207,-72.436349,POINT (-72.436349 4.56207),PARTICULAR,BPIN 20239835922015,INDUSTRIAL
ZWF AREA 411,4.141483,-72.366407,POINT (-72.366407 4.141483),PARTICULAR,BPIN 20238432581017,URBANO
ZWF AREA 412,4.790137,-72.339576,POINT (-72.339576 4.790137),EMPRESA,BPIN 20239547386617,INDUSTRIAL
ZWF AREA 413,4.601315,-72.825945,POINT (-72.825945 4.601315),GOBIERNO,BPIN 20239899497226,TURISTICO
ZWF AREA 414,4.383377,-72.955269,POINT (-72.955269 4.383377),ENTIDAD,BPIN 20238719620418,TURISTICO
ZWF AREA 415,4.438781,-72.33998,POINT (-72.33998 4.438781),EMPRESA,BPIN 20236235358172,TURISTICO
ZWF AREA 416,4.71722,-72.774419,POINT (-72.774419 4.71722),GOBIERNO,BPIN 20231079305608,TURISTICO
ZWF AREA 417,4.281971,-72.168824,POINT (-72.168824 4.281971),PARTICULAR,BPIN 20239610925092,URBANO
ZWF AREA 418,4.534102,-72.179134,POINT (-72.179134 4.534102),ENTIDAD,BPIN 20233488218176,TURISTICO
ZWF AREA 419,4.262569,-72.484469,POINT (-72.484469 4.262569),EMPRESA,BPIN 20238291490910,URBANO
ZWF AREA 420,4.414132,-72.532764,POINT (-72.532764 4.414132),EMPRESA,BPIN 20233488980845,RURAL
ZWF AREA 421,4.928281,-72.886326,POINT (-72.886326 4.928281),PARTICULAR,BPIN 20237093196616,INDUSTRIAL
ZWF AREA 422,4.695154,-72.986053,POINT (-72.986053 4.695154),PARTICULAR,BPIN 20237225325340,TURISTICO
ZWF AREA 423,4.852226,-72.694241,POINT (-72.694241 4.852226),ENTIDAD,BPIN 20238150405136,TURISTICO
ZWF AREA 424,4.439655,-72.644545,POINT (-72.644545 4.439655),EMPRESA,BPIN 20235495113773,URBANO
ZWF AREA 425,4.553321,-72.315844,POINT (-72.315844 4.553321),PARTICULAR,BPIN 20236176859042,TURISTICO
ZWF AREA 426,4.401831,-72.391669,POINT (-72.391669 4.401831),GOBIERNO,BPIN 20238703185268,URBANO
ZWF AREA 427,4.449369,-72.334834,POINT (-72.334834 4.449369),PARTICULAR,BPIN 20235430650759,INDUSTRIAL
ZWF AREA 428,4.217182,-72.671445,POINT (-72.671445 4.217182),GOBIERNO,BPIN 20234558679871,RURAL
ZWF AREA 429,4.673774,-72.963459,POINT (-72.963459 4.673774),EMPRESA,BPIN 20239664863752,INDUSTRIAL
ZWF AREA 430,4.029884,-72.12803,POINT (-72.12803 4.029884),GOBIERNO,BPIN 20236632710168,URBANO
ZWF AREA 431,4.845186,-72.307491,POINT (-72.307491 4.845186),GOBIERNO,BPIN 20235278267070,TURISTICO
ZWF AREA 432,4.047231,-72.808439,POINT (-72.808439 4.047231),GOBIERNO,BPIN 20239140689845,TURISTICO
ZWF AREA 433,4.903348,-72.11116,POINT (-72.11116 4.903348),EMPRESA,BPIN 20238278154552,TURISTICO
ZWF AREA 434,4.291948,-72.199163,POINT (-72.199163 4.291948),GOBIERNO,BPIN 20232148729285,URBANO
ZWF AREA 435,4.781238,-72.496678,POINT (-72.496678 4.781238),PARTICULAR,BPIN 20234882661975,INDUSTRIAL
ZWF AREA 436,4.712395,-72.065512,POINT (-72.065512 4.712395),PARTICULAR,BPIN 20239280735982,INDUSTRIAL
ZWF AREA 437,4.692199,-72.695392,POINT (-72.695392 4.692199),PARTICULAR,BPIN 20231808154862,RURAL
ZWF AREA 438,4.556758,-72.049411,POINT (-72.049411 4.556758),ENTIDAD,BPIN 20234887520391,RURAL
ZWF AREA 439,4.89665,-72.111092,POINT (-72.111092 4.89665),PARTICULAR,BPIN 20237630589576,RURAL
ZWF AREA 440,4.906842,-72.67377,POINT (-72.67377 4.906842),ENTIDAD,BPIN 20232632734670,RURAL
ZWF AREA 441,4.021418,-72.21507,POINT (-72.21507 4.021418),PARTICULAR,BPIN 20234892299230,URBANO
ZWF AREA 442,4.096173,-72.472825,POINT (-72.472825 4.096173),EMPRESA,BPIN 20237705910474,RURAL
ZWF AREA 443,4.567622,-72.645341,POINT (-72.645341 4.567622),GOBIERNO,BPIN 20231109699824,INDUSTRIAL
ZWF AREA 444,4.290993,-72.336067,POINT (-72.336067 4.290993),ENTIDAD,BPIN 20234816156036,RURAL
ZWF AREA 445,4.767042,-72.908259,POINT (-72.908259 4.767042),EMPRESA,BPIN 20239830733648,RURAL
ZWF AREA 446,4.910217,-72.735015,POINT (-72.735015 4.910217),PARTICULAR,BPIN 20233354711509,TURISTICO
ZWF AREA 447,4.059673,-72.176363,POINT (-72.176363 4.059673),PARTICULAR,BPIN 20237465866867,URBANO
ZWF AREA 448,4.350849,-72.287682,POINT (-72.287682 4.350849),ENTIDAD,BPIN 20234340940444,TURISTICO
ZWF AREA 449,4.768391,-72.031517,POINT (-72.031517 4.768391),EMPRESA,BPIN 20235691282236,URBANO
ZWF AREA 450,4.043942,-72.162869,POINT (-72.162869 4.043942),GOBIERNO,BPIN 20232493329452,RURAL
ZWF AREA 451,4.276827,-72.160731,POINT (-72.160731 4.276827),PARTICULAR,BPIN 20236615451265,URBANO
ZWF AREA 452,4.652023,-72.019032,POINT (-72.019032 4.652023),PARTICULAR,BPIN 20234520245121,TURISTICO
